timestamp,hour,day_of_week,month,is_weekend,temperature,humidity,solar_radiation,cloud_cover,energy_demand,solar_generation,battery_soc,battery_power,grid_power
2023-01-01T00:00:00,0,6,1,1,6.89,68.0,0.0,38.87,13.162,0.0,36.76,-13.162,0.0
2023-01-01T01:00:00,1,6,1,1,3.42,66.99,0.35,29.57,12.337,0.01,24.59,-12.327,0.0
2023-01-01T02:00:00,2,6,1,1,5.62,67.29,0.65,36.42,11.86,0.009,12.61,-11.851,0.0
2023-01-01T03:00:00,3,6,1,1,4.76,69.14,0.0,45.67,12.328,0.0,10.07,-2.66,9.668
2023-01-01T04:00:00,4,6,1,1,2.26,66.5,1.23,34.55,9.447,0.003,9.95,-0.0,9.444
2023-01-01T05:00:00,5,6,1,1,3.19,65.62,2.49,35.83,9.686,0.029,10.07,-0.0,9.657
2023-01-01T06:00:00,6,6,1,1,6.16,71.07,1.47,9.3,12.81,0.0,9.9,-0.0,12.81
2023-01-01T07:00:00,7,6,1,1,6.78,69.61,27.35,11.95,16.323,1.292,9.82,-0.0,15.031
2023-01-01T08:00:00,8,6,1,1,8.42,62.74,300.05,21.91,17.866,14.13,10.13,-0.0,3.736
2023-01-01T09:00:00,9,6,1,1,9.27,72.33,513.33,31.89,17.831,24.312,15.79,6.481,0.0
2023-01-01T10:00:00,10,6,1,1,12.98,66.43,712.31,25.49,18.204,33.843,30.24,15.639,0.0
2023-01-01T11:00:00,11,6,1,1,15.12,62.89,815.33,30.83,19.157,39.244,48.75,20.0,0.0
2023-01-01T12:00:00,12,6,1,1,14.96,59.42,780.04,37.17,19.89,39.13,66.18,19.24,0.0
2023-01-01T13:00:00,13,6,1,1,16.72,68.94,627.63,54.87,17.175,27.852,76.18,10.677,0.0
2023-01-01T14:00:00,14,6,1,1,16.42,75.01,599.46,43.42,16.658,29.546,88.03,12.888,0.0
2023-01-01T15:00:00,15,6,1,1,14.9,61.01,661.1,6.2,16.877,31.208,99.96,12.901,0.0
2023-01-01T16:00:00,16,6,1,1,17.44,65.03,345.49,9.51,18.01,16.48,98.43,-1.53,0.0
2023-01-01T17:00:00,17,6,1,1,14.18,61.72,32.29,15.88,18.308,1.491,81.58,-16.817,0.0
2023-01-01T18:00:00,18,6,1,1,16.26,67.74,0.0,25.84,16.221,0.019,65.42,-16.202,0.0
2023-01-01T19:00:00,19,6,1,1,13.63,63.3,0.16,22.33,20.231,0.025,45.67,-20.0,0.206
2023-01-01T20:00:00,20,6,1,1,11.79,52.89,0.23,21.33,19.639,0.004,26.16,-19.635,0.0
2023-01-01T21:00:00,21,6,1,1,9.71,63.08,1.86,25.56,19.889,0.0,10.07,-15.816,4.073
2023-01-01T22:00:00,22,6,1,1,10.36,68.31,0.0,34.31,17.835,0.026,9.95,-0.0,17.809
2023-01-01T23:00:00,23,6,1,1,5.57,70.92,0.0,2.45,17.277,0.018,9.86,-0.0,17.259
2023-01-02T00:00:00,0,0,1,0,5.12,72.07,1.25,49.67,12.007,0.011,9.89,-0.0,11.996
2023-01-02T01:00:00,1,0,1,0,4.56,67.19,0.0,8.96,10.352,0.0,9.96,-0.0,10.352
2023-01-02T02:00:00,2,0,1,0,5.67,65.02,0.0,19.14,9.295,0.023,10.17,-0.0,9.272
2023-01-02T03:00:00,3,0,1,0,5.25,74.17,0.0,7.0,9.648,0.0,9.84,-0.0,9.648
2023-01-02T04:00:00,4,0,1,0,4.01,78.41,0.0,32.78,9.037,0.017,10.05,-0.0,9.02
2023-01-02T05:00:00,5,0,1,0,5.19,68.94,0.26,46.5,11.791,0.0,9.92,-0.0,11.791
2023-01-02T06:00:00,6,0,1,0,7.84,63.79,0.0,49.86,15.127,0.0,10.14,-0.0,15.127
2023-01-02T07:00:00,7,0,1,0,7.42,59.41,19.5,28.84,20.306,0.946,9.94,-0.0,19.36
2023-01-02T08:00:00,8,0,1,0,8.59,74.57,212.52,53.83,21.861,9.773,9.88,-0.0,12.088
2023-01-02T09:00:00,9,0,1,0,9.55,68.35,511.51,31.49,22.312,25.639,12.95,3.327,0.0
2023-01-02T10:00:00,10,0,1,0,13.0,67.66,400.8,70.14,15.597,19.167,16.6,3.57,0.0
2023-01-02T11:00:00,11,0,1,0,15.84,67.98,680.81,47.58,15.022,33.179,33.04,18.157,0.0
2023-01-02T12:00:00,12,0,1,0,15.49,58.09,852.55,30.39,15.699,43.185,51.61,20.0,0.0
2023-01-02T13:00:00,13,0,1,0,15.55,74.26,465.05,70.94,14.419,22.49,58.92,8.071,0.0
2023-01-02T14:00:00,14,0,1,0,15.87,68.73,373.55,74.43,14.038,17.956,62.57,3.918,0.0
2023-01-02T15:00:00,15,0,1,0,17.61,57.42,540.32,28.76,13.922,25.996,73.53,12.074,0.0
2023-01-02T16:00:00,16,0,1,0,18.06,63.73,230.35,48.63,17.337,10.668,66.9,-6.669,0.0
2023-01-02T17:00:00,17,0,1,0,17.18,65.32,30.3,57.16,19.653,1.435,48.54,-18.218,0.0
2023-01-02T18:00:00,18,0,1,0,14.07,71.08,0.8,58.63,22.611,0.0,28.54,-20.0,2.611
2023-01-02T19:00:00,19,0,1,0,13.81,75.52,0.0,60.56,26.643,0.008,9.96,-18.701,7.934
2023-01-02T20:00:00,20,0,1,0,12.83,76.74,0.05,66.85,27.996,0.004,9.94,-0.0,27.992
2023-01-02T21:00:00,21,0,1,0,11.55,71.51,0.0,59.1,22.005,0.009,9.97,-0.0,21.996
2023-01-02T22:00:00,22,0,1,0,9.51,73.05,0.0,73.42,20.09,0.0,10.11,-0.0,20.09
2023-01-02T23:00:00,23,0,1,0,7.34,70.67,0.0,62.32,16.726,0.004,10.27,-0.0,16.722
2023-01-03T00:00:00,0,1,1,0,6.96,63.06,1.55,50.21,12.67,0.013,9.85,-0.0,12.657
2023-01-03T01:00:00,1,1,1,0,5.2,72.89,0.0,50.94,12.403,0.047,10.05,-0.0,12.356
2023-01-03T02:00:00,2,1,1,0,4.33,73.71,0.0,80.96,11.694,0.0,9.91,-0.0,11.694
2023-01-03T03:00:00,3,1,1,0,5.76,78.78,0.0,51.04,9.31,0.02,9.75,-0.0,9.29
2023-01-03T04:00:00,4,1,1,0,2.53,73.86,1.56,53.7,8.637,0.013,10.35,-0.0,8.624
2023-01-03T05:00:00,5,1,1,0,4.72,73.89,0.0,30.34,12.175,0.002,9.98,-0.0,12.173
2023-01-03T06:00:00,6,1,1,0,6.17,69.28,0.0,45.93,15.385,0.0,9.94,-0.0,15.385
